epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,168.731,1.10259,1.7795,1.00846,0.03908,0.83333,0.83203,0.4065,1.04379,3.13938,0.94883,0.000304476,0.000304476,0.000304476
43,172.288,1.11554,1.8056,0.98426,0.03908,0.83333,0.83203,0.4065,1.04379,3.13938,0.94883,0.000306705,0.000306705,0.000306705
44,175.934,1.16179,1.64626,0.95083,0.03908,0.83333,0.83203,0.4065,1.04379,3.13938,0.94883,0.000308686,0.000308686,0.000308686
45,179.542,1.26109,1.82342,1.09162,0.03908,0.83333,0.83203,0.4065,1.04379,3.13938,0.94883,0.00031042,0.00031042,0.00031042
46,183.514,1.05938,1.54948,0.95011,0.03345,0.66667,0.5833,0.38246,1.06097,3.13591,0.95341,0.000311906,0.000311906,0.000311906
47,186.941,1.22114,1.65899,1.02352,0.03345,0.66667,0.5833,0.38246,1.06097,3.13591,0.95341,0.000313145,0.000313145,0.000313145
48,190.432,1.10505,1.64872,0.92476,0.03345,0.66667,0.5833,0.38246,1.06097,3.13591,0.95341,0.000314136,0.000314136,0.000314136
49,194.053,0.97462,1.34113,0.94557,0.03345,0.66667,0.5833,0.38246,1.06097,3.13591,0.95341,0.00031488,0.00031488,0.00031488
50,197.534,1.07576,1.82667,1.11886,0.04161,0.83333,0.83237,0.41032,1.07216,3.12951,0.93932,0.000315376,0.000315376,0.000315376
51,201.062,1.151,1.53151,0.96404,0.04161,0.83333,0.83237,0.41032,1.07216,3.12951,0.93932,0.000315625,0.000315625,0.000315625
52,204.475,1.14192,1.44033,0.98162,0.04161,0.83333,0.83237,0.41032,1.07216,3.12951,0.93932,0.000315626,0.000315626,0.000315626
53,207.914,1.09991,2.00407,1.03575,0.04161,0.83333,0.83237,0.41032,1.07216,3.12951,0.93932,0.00031538,0.00031538,0.00031538
54,211.537,1.16658,1.81603,1.08327,0.04161,0.83333,0.83237,0.41032,1.07216,3.12951,0.93932,0.000314886,0.000314886,0.000314886
55,215.383,1.01278,1.5911,0.92982,0.04223,0.83333,0.83248,0.4727,1.02953,3.08288,0.93356,0.000314145,0.000314145,0.000314145
56,218.808,1.03727,1.38762,0.99946,0.04223,0.83333,0.83248,0.4727,1.02953,3.08288,0.93356,0.000313156,0.000313156,0.000313156
57,222.338,1.00987,1.45232,0.97288,0.04223,0.83333,0.83248,0.4727,1.02953,3.08288,0.93356,0.00031192,0.00031192,0.00031192
58,225.733,1.2111,1.72736,1.09786,0.04223,0.83333,0.83248,0.4727,1.02953,3.08288,0.93356,0.000310436,0.000310436,0.000310436
59,229.066,1.04848,1.41586,0.95245,0.04223,0.83333,0.83248,0.4727,1.02953,3.08288,0.93356,0.000308705,0.000308705,0.000308705
60,232.42,1.21347,1.68813,0.92402,0.04265,0.83333,0.83263,0.51108,1.00442,2.99883,0.9347,0.000306726,0.000306726,0.000306726
61,235.669,1.06013,1.46981,0.94434,0.04265,0.83333,0.83263,0.51108,1.00442,2.99883,0.9347,0.0003045,0.0003045,0.0003045
62,238.902,1.0369,1.39826,0.97796,0.04265,0.83333,0.83263,0.51108,1.00442,2.99883,0.9347,0.000302026,0.000302026,0.000302026
63,242.059,0.90932,1.33509,0.89072,0.04265,0.83333,0.83263,0.51108,1.00442,2.99883,0.9347,0.000299305,0.000299305,0.000299305
64,245.39,1.06785,1.52422,0.96736,0.04265,0.83333,0.83263,0.51108,1.00442,2.99883,0.9347,0.000296336,0.000296336,0.000296336
65,248.802,1.09441,1.41277,0.9351,1,0.35132,0.83234,0.53683,0.93959,2.89354,0.92776,0.00029312,0.00029312,0.00029312
66,252.081,1.09452,1.43347,0.93032,1,0.35132,0.83234,0.53683,0.93959,2.89354,0.92776,0.000289656,0.000289656,0.000289656
67,255.505,1.13201,1.28345,0.96266,1,0.35132,0.83234,0.53683,0.93959,2.89354,0.92776,0.000285945,0.000285945,0.000285945
68,258.81,0.93699,1.44288,0.9868,1,0.35132,0.83234,0.53683,0.93959,2.89354,0.92776,0.000281986,0.000281986,0.000281986
69,262.294,0.86429,1.1871,0.92127,1,0.35132,0.83234,0.53683,0.93959,2.89354,0.92776,0.00027778,0.00027778,0.00027778
70,266.153,1.01638,1.38083,1.00982,1,0.35132,0.83234,0.53683,0.93959,2.89354,0.92776,0.000273326,0.000273326,0.000273326
71,269.982,0.88452,1.2437,0.93523,1,0.3121,0.85912,0.5471,0.9654,2.65074,0.92383,0.000268625,0.000268625,0.000268625
72,273.613,0.98813,1.3244,0.92656,1,0.3121,0.85912,0.5471,0.9654,2.65074,0.92383,0.000263676,0.000263676,0.000263676
73,277.021,0.82575,1.16595,0.98433,1,0.3121,0.85912,0.5471,0.9654,2.65074,0.92383,0.00025848,0.00025848,0.00025848
74,280.369,0.87247,1.05192,0.94235,1,0.3121,0.85912,0.5471,0.9654,2.65074,0.92383,0.000253036,0.000253036,0.000253036
75,283.795,1.00994,1.33351,1.01512,1,0.3121,0.85912,0.5471,0.9654,2.65074,0.92383,0.000247345,0.000247345,0.000247345
76,287.45,0.88336,1.25058,0.88917,1,0.3121,0.85912,0.5471,0.9654,2.65074,0.92383,0.000241406,0.000241406,0.000241406
77,290.839,0.96973,1.23581,1.01037,1,0.40507,0.929,0.59381,1.00993,2.39102,0.92829,0.00023522,0.00023522,0.00023522
78,294.198,0.95173,1.23086,0.90788,1,0.40507,0.929,0.59381,1.00993,2.39102,0.92829,0.000228786,0.000228786,0.000228786
79,298.172,0.88243,1.47922,0.90332,1,0.40507,0.929,0.59381,1.00993,2.39102,0.92829,0.000222105,0.000222105,0.000222105
80,301.59,1.22623,1.40802,0.94985,1,0.40507,0.929,0.59381,1.00993,2.39102,0.92829,0.000215176,0.000215176,0.000215176
81,304.897,0.97632,1.54087,1.00805,1,0.40507,0.929,0.59381,1.00993,2.39102,0.92829,0.000208,0.000208,0.000208
82,308.201,0.99302,1.1811,0.96082,1,0.40507,0.929,0.59381,1.00993,2.39102,0.92829,0.000200576,0.000200576,0.000200576
83,311.483,0.87568,1.11169,0.93011,1,0.40507,0.929,0.59381,1.00993,2.39102,0.92829,0.000192905,0.000192905,0.000192905
84,314.908,0.90377,1.0758,0.94617,1,0.48835,0.995,0.61334,1.03147,2.11206,0.93173,0.000184986,0.000184986,0.000184986
85,318.331,0.96518,1.1882,0.94444,1,0.48835,0.995,0.61334,1.03147,2.11206,0.93173,0.00017682,0.00017682,0.00017682
86,321.936,0.94995,1.1588,0.9733,1,0.48835,0.995,0.61334,1.03147,2.11206,0.93173,0.000168406,0.000168406,0.000168406
87,325.3,0.88397,1.13272,0.93406,1,0.48835,0.995,0.61334,1.03147,2.11206,0.93173,0.000159745,0.000159745,0.000159745
88,328.72,0.89832,1.12091,0.86217,1,0.48835,0.995,0.61334,1.03147,2.11206,0.93173,0.000150836,0.000150836,0.000150836
89,332.068,0.90454,1.03099,0.97105,1,0.48835,0.995,0.61334,1.03147,2.11206,0.93173,0.00014168,0.00014168,0.00014168
90,335.467,0.79402,1.08598,0.94963,1,0.48835,0.995,0.61334,1.03147,2.11206,0.93173,0.000132276,0.000132276,0.000132276
91,338.899,1.05283,1.32675,1.00194,0.97892,0.5,0.995,0.63538,1.03046,1.88846,0.92919,0.000122625,0.000122625,0.000122625
92,342.337,0.7509,1.05186,0.87927,0.97892,0.5,0.995,0.63538,1.03046,1.88846,0.92919,0.000112726,0.000112726,0.000112726
93,345.611,0.80229,1.02081,0.93728,0.97892,0.5,0.995,0.63538,1.03046,1.88846,0.92919,0.00010258,0.00010258,0.00010258
94,348.951,1.02606,1.31833,0.89211,0.97892,0.5,0.995,0.63538,1.03046,1.88846,0.92919,9.21862e-05,9.21862e-05,9.21862e-05
95,352.157,0.95067,1.14734,0.93756,0.97892,0.5,0.995,0.63538,1.03046,1.88846,0.92919,8.1545e-05,8.1545e-05,8.1545e-05
96,355.369,0.80355,1.05557,0.89827,0.97892,0.5,0.995,0.63538,1.03046,1.88846,0.92919,7.06563e-05,7.06563e-05,7.06563e-05
97,358.649,0.81106,1.06412,0.90166,0.97892,0.5,0.995,0.63538,1.03046,1.88846,0.92919,5.952e-05,5.952e-05,5.952e-05
98,362.034,0.78167,1.11144,0.90368,0.97892,0.5,0.995,0.63538,1.03046,1.88846,0.92919,4.81363e-05,4.81363e-05,4.81363e-05
99,365.364,1.00781,1.30151,0.92389,0.94102,0.91179,0.995,0.66696,1.05266,1.5883,0.93352,3.6505e-05,3.6505e-05,3.6505e-05
100,368.734,0.86215,1.09268,0.95906,0.94102,0.91179,0.995,0.66696,1.05266,1.5883,0.93352,2.46263e-05,2.46263e-05,2.46263e-05
